Other	mokky, 25-34 on Treatment for 2 to less than 5 years (Patient) 	5	5	5		25-34	5/1/2012 11:34:36 AM	take 10 or more to get high 
Runny Nose	19-24 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	19-24	3/12/2012 12:38:24 AM	
Other	Mary Jane, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female		12/20/2011 12:03:58 AM	MI RIPPINT ALLSB
Cold Symptoms	55-64 Male  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Male	55-64	1/27/2011 6:24:30 PM	
Other	65-74 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	65-74	1/2/2011 12:36:29 AM	Had runny nose for 12 hrs, then sneezing for a full day.  Coricidin HBP cleared sinus &amp; stopped sneezing. It does drop B/P considerably so can only take it in between B/P doses.  Lowered fever as well.
Cold Symptoms	joey, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	2	5	5	Male	55-64	11/18/2010 2:26:01 PM	The foil packs are hard to open.
Other	mother duck, 35-44 Female  on Treatment for less than 1 month (Caregiver) 	1	1	1	Female	35-44	9/28/2009 7:32:15 PM	i would like to see this product pulled i would not have given this product any stars but it required it, this is a death sentence to the youth of America please make this a RX drug it has major side effects associated with it  please only take the prescribed dose, your health, and our children s health  depend on it
Cough	shoefly321, 65-74 Male  on Treatment for less than 1 month (Patient) 	4	3	4	Male	65-74	4/4/2009 8:54:05 PM	
Cold Symptoms	melvin, 55-64 Male  on Treatment for 10 years or more	3	4	4	Male	55-64	2/18/2009 12:27:49 PM	
Other	13-18 Female 	5	5	5	Female	13-18	2/14/2009 6:41:00 PM	it pretty much works, but you really have to watch out with that stuff. trust me. take too much...its a fun trip, dont get me wrong...but really, dont do it because it'll cause permanent damage to you if you do it TOO often. ive seen it happen to my friends.
Cold Symptoms	mmsjd, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	1/18/2009 8:05:52 PM	This is a Great Product!
Cold Symptoms	65-74 Female  on Treatment for less than 1 month (Patient) 	4	4	4	Female	65-74	12/13/2008 8:05:02 PM	
Other		3	3	3			7/9/2008 10:18:34 AM	be very careful when taking this drug! take no more than what is right for you, any more and you will get messed up. 
Cough	greendevil000, 19-24 Male  on Treatment for less than 1 month (Patient) 	4	4	3	Male	19-24	1/29/2008 1:20:45 PM	very helpful getting rid of cold/flu But to much at one time mess's you up 
Cold Symptoms	Brendanhurd, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	55-64	12/29/2007 10:46:18 PM	Very helpful with stuffy nose abd cough
Stuffy Nose	charlietwo,  Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male		10/30/2007 8:44:00 PM	Head cold
