Severe Pain	zena, 45-54 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	45-54	12/5/2011 9:00:41 PM	This works faster and better for my mirgraines than any other medicine
Labor Pain	19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	2/16/2011 12:55:21 PM	Was able to space out my doses during labor to where i was able to have two doses and it greatly helped my back labor pains and made it seem like the delivery was a breeze. I was relieved bc i didn't want or have an Epi
Pain	GamecockGirl97, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	8/31/2010 4:18:12 PM	I was given an injection of Demerol and Toradol for a migraine that did not respond to my abortive medication. I went home and slept and when I woke up, my migraine was gone. It was definitely worth the minor pain of the shot.
Other	Cris, 45-54 Female  on Treatment for 10 years or more (Caregiver) 	5	5	5	Female	45-54	6/17/2010 2:14:18 AM	My sister lost her life to this drug in April 2010. She was allowed by her MD to self inject at home and she died chasing a &quot;high&quot; rather than a migraine. All of your reasons are reasons for VERY specific and careful use of this DRUG! Very sad, and what a loss!  Cris RN BSN
Pain	swuggygirl, 19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	19-24	3/17/2010 3:25:55 PM	When I was treated with demerol inj I was in the hospital for abdominal pain. The medicine was fast acting, it didn't make me itch like morphine did, and my pain decreased significantly.
Other	gccok, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	2/17/2010 12:55:24 PM	Used for sedation for upper and lower GI scopes. I fell asleep both times and don't remember anything about the procedures.
Pain	moniquea, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	4	5	Female	45-54	1/27/2010 1:35:54 PM	sometime the medication give's a different feeling as other's. meaning at time it is more effective as to other time's..
Pain	shadylady, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	4	5	Female	35-44	9/10/2009 8:44:54 PM	I was given this drug following my hysterectomy. I woke up in terrible pain and after several attempts w/another drug I was finally given demerol and experienced almost instant relief. The only problem was that it had to be given in the hip through a large bore needle rather than through the iv so after 3 days both of my hips were black and blue. But it was well worth it for the excellent pain relief and I would choose to use it again.
Pain	Mandy, 25-34 Female  on Treatment for 10 years or more (Patient) 	5	1	3	Female	25-34	8/8/2009 2:18:37 PM	No doctors will prescribe this med that actually works for my chronic pain.  I was in a 'Demerol clinic,' but was switched to Dilauded.
Labor Pain	Nicole, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	7/27/2009 2:32:25 PM	It made the birthing process very relaxing for a short period of time.  
Pain	19-24 Female  on Treatment for less than 1 month (Patient) 	5	4	5	Female	19-24	7/17/2009 11:09:43 AM	I was given this drug after back surgery. I didn't fall asleep and felt like I could do cartwheels down the halls. Worked wonderfully!
