High Blood Pressure	65-74 on Treatment for 5 to less than 10 years (Patient) 	5	5	5		65-74	4/10/2012 9:48:34 AM	I occasionally retain water, so this helps with that .  Have not had any bad experiences with this drug.
Visible Water Retention	hazel, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	4	5	3	Female	45-54	9/12/2011 1:25:25 PM	I have a problem with water retention in my lower extremities and this drug helps with the removal of excessive fluid
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/4/2011 10:22:51 AM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/4/2011 10:12:17 AM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/3/2011 3:28:19 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/3/2011 1:38:07 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 2:35:42 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 2:34:31 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 2:33:34 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 2:32:31 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 1:44:53 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 1:43:23 PM	This drug is awesome.  I love drugs.
Osteoporosis	25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	25-34	2/1/2011 1:38:30 PM	This drug is awesome.  I love drugs.
Visible Water Retention	boo, 35-44 Female  on Treatment for 5 to less than 10 years (Patient) 	3	3	3	Female	35-44	12/14/2010 4:16:49 PM	After taking this medicine for over 5yrs. I have developed heart problems and extreme muscle weakness that doctors can't give me a straight diagnoses. I am now trying to diagnose myself. Can someone please help me?
Visible Water Retention	just-rain, 35-44 Female  on Treatment for less than 1 month (Caregiver) 	1	1	1	Female	35-44	5/1/2008 5:22:04 PM	DID NOT LIKE THIS MEDICATION. AT ALL. DROPPED MY B/P.STOPPED TAKING IT AFTER TALKING TO MY DR.
